timestamp,capital,realized_capital
2024-08-04 07:30:00+00:00,50000.0,50000.0
2024-08-04 08:00:00+00:00,50000.0,50000.0
2024-08-04 08:30:00+00:00,50000.0,50000.0
2024-08-04 09:00:00+00:00,50000.0,50000.0
2024-08-04 09:30:00+00:00,50000.0,50000.0
2024-08-04 10:00:00+00:00,50000.0,50000.0
2024-08-04 10:30:00+00:00,50000.0,50000.0
2024-08-04 11:00:00+00:00,50000.0,50000.0
2024-08-04 11:30:00+00:00,50000.0,50000.0
2024-08-04 12:00:00+00:00,50000.0,50000.0
2024-08-04 12:30:00+00:00,50000.0,50000.0
2024-08-04 13:00:00+00:00,50000.0,50000.0
2024-08-04 13:30:00+00:00,50000.0,50000.0
2024-08-04 14:00:00+00:00,50000.0,50000.0
2024-08-04 14:30:00+00:00,50000.0,50000.0
2024-08-04 15:00:00+00:00,50000.0,50000.0
2024-08-04 15:30:00+00:00,50000.0,50000.0
2024-08-04 16:00:00+00:00,50000.0,50000.0
2024-08-04 16:30:00+00:00,50000.0,50000.0
2024-08-04 17:00:00+00:00,50000.0,50000.0
2024-08-04 17:30:00+00:00,50000.0,50000.0
2024-08-04 18:00:00+00:00,50000.0,50000.0
2024-08-04 18:30:00+00:00,50000.0,50000.0
2024-08-04 19:00:00+00:00,50000.0,50000.0
2024-08-04 19:30:00+00:00,50000.0,50000.0
2024-08-04 20:00:00+00:00,50000.0,50000.0
2024-08-04 20:30:00+00:00,50000.0,50000.0
2024-08-04 21:00:00+00:00,50000.0,50000.0
2024-08-04 21:30:00+00:00,50000.0,50000.0
2024-08-04 22:00:00+00:00,50000.0,50000.0
2024-08-04 22:30:00+00:00,50000.0,50000.0
2024-08-04 23:00:00+00:00,50000.0,50000.0
2024-08-04 23:30:00+00:00,50000.0,50000.0
2024-08-05 00:00:00+00:00,50000.0,50000.0
2024-08-05 00:30:00+00:00,50000.0,50000.0
2024-08-05 01:00:00+00:00,50000.0,50000.0
2024-08-05 01:30:00+00:00,50000.0,50000.0
2024-08-05 02:00:00+00:00,50000.0,50000.0
2024-08-05 02:30:00+00:00,50000.0,50000.0
2024-08-05 03:00:00+00:00,50000.0,50000.0
2024-08-05 03:30:00+00:00,50000.0,50000.0
2024-08-05 04:00:00+00:00,50000.0,50000.0
2024-08-05 04:30:00+00:00,50000.0,50000.0
2024-08-05 05:00:00+00:00,50000.0,50000.0
2024-08-05 05:30:00+00:00,50000.0,50000.0
2024-08-05 06:00:00+00:00,50000.0,50000.0
2024-08-05 06:30:00+00:00,50000.0,50000.0
2024-08-05 07:00:00+00:00,50000.0,50000.0
2024-08-05 07:30:00+00:00,50000.0,50000.0
2024-08-05 08:00:00+00:00,50000.0,50000.0
2024-08-05 08:30:00+00:00,50000.0,50000.0
2024-08-05 09:00:00+00:00,50000.0,50000.0
2024-08-05 09:30:00+00:00,50000.0,50000.0
2024-08-05 10:00:00+00:00,50000.0,50000.0
2024-08-05 10:30:00+00:00,50000.0,50000.0
2024-08-05 11:00:00+00:00,50000.0,50000.0
2024-08-05 11:30:00+00:00,50000.0,50000.0
2024-08-05 12:00:00+00:00,50000.0,50000.0
2024-08-05 12:30:00+00:00,50000.0,50000.0
2024-08-05 13:00:00+00:00,50000.0,50000.0
2024-08-05 13:30:00+00:00,50000.0,50000.0
2024-08-05 14:00:00+00:00,50000.0,50000.0
2024-08-05 14:30:00+00:00,50000.0,50000.0
2024-08-05 15:00:00+00:00,50000.0,50000.0
2024-08-05 15:30:00+00:00,50000.0,50000.0
2024-08-05 16:00:00+00:00,50000.0,50000.0
2024-08-05 16:30:00+00:00,50000.0,50000.0
2024-08-05 17:00:00+00:00,50000.0,50000.0
2024-08-05 17:30:00+00:00,50000.0,50000.0
2024-08-05 18:00:00+00:00,50000.0,50000.0
2024-08-05 18:30:00+00:00,50000.0,50000.0
2024-08-05 19:00:00+00:00,50000.0,50000.0
2024-08-05 19:30:00+00:00,50000.0,50000.0
2024-08-05 20:00:00+00:00,50000.0,50000.0
2024-08-05 20:30:00+00:00,50000.0,50000.0
2024-08-05 21:00:00+00:00,50000.0,50000.0
2024-08-05 21:30:00+00:00,50000.0,50000.0
2024-08-05 22:00:00+00:00,50000.0,50000.0
2024-08-05 22:30:00+00:00,50000.0,50000.0
2024-08-05 23:00:00+00:00,50000.0,50000.0
2024-08-05 23:30:00+00:00,50000.0,50000.0
2024-08-06 00:00:00+00:00,50000.0,50000.0
2024-08-06 00:30:00+00:00,50000.0,50000.0
2024-08-06 01:00:00+00:00,50000.0,50000.0
2024-08-06 01:30:00+00:00,50000.0,50000.0
2024-08-06 02:00:00+00:00,50000.0,50000.0
2024-08-06 02:30:00+00:00,50000.0,50000.0
2024-08-06 03:00:00+00:00,50000.0,50000.0
2024-08-06 03:30:00+00:00,50000.0,50000.0
2024-08-06 04:00:00+00:00,50000.0,50000.0
2024-08-06 04:30:00+00:00,50000.0,50000.0
2024-08-06 05:00:00+00:00,50000.0,50000.0
2024-08-06 05:30:00+00:00,50000.0,50000.0
2024-08-06 06:00:00+00:00,50000.0,50000.0
2024-08-06 06:30:00+00:00,50000.0,50000.0
2024-08-06 07:00:00+00:00,50000.0,50000.0
2024-08-06 07:30:00+00:00,50000.0,50000.0
2024-08-06 08:00:00+00:00,50000.0,50000.0
2024-08-06 08:30:00+00:00,50000.0,50000.0
2024-08-06 09:00:00+00:00,50000.0,50000.0
2024-08-06 09:30:00+00:00,50000.0,50000.0
2024-08-06 10:00:00+00:00,50000.0,50000.0
2024-08-06 10:30:00+00:00,50000.0,50000.0
2024-08-06 11:00:00+00:00,50000.0,50000.0
2024-08-06 11:30:00+00:00,50000.0,50000.0
2024-08-06 12:00:00+00:00,50000.0,50000.0
2024-08-06 12:30:00+00:00,50000.0,50000.0
2024-08-06 13:00:00+00:00,50000.0,50000.0
2024-08-06 13:30:00+00:00,50000.0,50000.0
2024-08-06 14:00:00+00:00,50000.0,50000.0
2024-08-06 14:30:00+00:00,50000.0,50000.0
2024-08-06 15:00:00+00:00,50000.0,50000.0
2024-08-06 15:30:00+00:00,50000.0,50000.0
2024-08-06 16:00:00+00:00,50000.0,50000.0
2024-08-06 16:30:00+00:00,50000.0,50000.0
2024-08-06 17:00:00+00:00,50000.0,50000.0
2024-08-06 17:30:00+00:00,50000.0,50000.0
2024-08-06 18:00:00+00:00,50000.0,50000.0
2024-08-06 18:30:00+00:00,50000.0,50000.0
2024-08-06 19:00:00+00:00,50000.0,50000.0
2024-08-06 19:30:00+00:00,50000.0,50000.0
2024-08-06 20:00:00+00:00,50000.0,50000.0
2024-08-06 20:30:00+00:00,50000.0,50000.0
2024-08-06 21:00:00+00:00,50000.0,50000.0
2024-08-06 21:30:00+00:00,50000.0,50000.0
2024-08-06 22:00:00+00:00,50000.0,50000.0
2024-08-06 22:30:00+00:00,50000.0,50000.0
2024-08-06 23:00:00+00:00,50000.0,50000.0
2024-08-06 23:30:00+00:00,50000.0,50000.0
2024-08-07 00:00:00+00:00,50000.0,50000.0
2024-08-07 00:30:00+00:00,50000.0,50000.0
2024-08-07 01:00:00+00:00,50000.0,50000.0
2024-08-07 01:30:00+00:00,50000.0,50000.0
2024-08-07 02:00:00+00:00,50000.0,50000.0
2024-08-07 02:30:00+00:00,50000.0,50000.0
2024-08-07 03:00:00+00:00,50000.0,50000.0
2024-08-07 03:30:00+00:00,50000.0,50000.0
2024-08-07 04:00:00+00:00,50000.0,50000.0
2024-08-07 04:30:00+00:00,50000.0,50000.0
2024-08-07 05:00:00+00:00,50000.0,50000.0
2024-08-07 05:30:00+00:00,50000.0,50000.0
2024-08-07 06:00:00+00:00,50000.0,50000.0
2024-08-07 06:30:00+00:00,50000.0,50000.0
2024-08-07 07:00:00+00:00,50000.0,50000.0
2024-08-07 07:30:00+00:00,50000.0,50000.0
2024-08-07 08:00:00+00:00,50000.0,50000.0
2024-08-07 08:30:00+00:00,50000.0,50000.0
2024-08-07 09:00:00+00:00,50000.0,50000.0
2024-08-07 09:30:00+00:00,50000.0,50000.0
2024-08-07 10:00:00+00:00,50000.0,50000.0
2024-08-07 10:30:00+00:00,50000.0,50000.0
2024-08-07 11:00:00+00:00,50000.0,50000.0
2024-08-07 11:30:00+00:00,50000.0,50000.0
2024-08-07 12:00:00+00:00,50000.0,50000.0
2024-08-07 12:30:00+00:00,50000.0,50000.0
2024-08-07 13:00:00+00:00,50000.0,50000.0
2024-08-07 13:30:00+00:00,50000.0,50000.0
2024-08-07 14:00:00+00:00,50000.0,50000.0
2024-08-07 14:30:00+00:00,50000.0,50000.0
2024-08-07 15:00:00+00:00,50000.0,50000.0
2024-08-07 15:30:00+00:00,50000.0,50000.0
2024-08-07 16:00:00+00:00,50000.0,50000.0
2024-08-07 16:30:00+00:00,50000.0,50000.0
2024-08-07 17:00:00+00:00,49996.68894256886,49996.68894256886
2024-08-07 17:30:00+00:00,50051.591690268855,49996.68894256886
2024-08-07 18:00:00+00:00,50107.35969026886,49996.68894256886
2024-08-07 18:30:00+00:00,50128.14969026886,49996.68894256886
2024-08-07 19:00:00+00:00,50088.79803619772,50088.79803619772
